shot_id,production,episode_or_reel,scene,vfx_vendor,status,priority,due_at,render_job_id,dependency_shot_ids
PAL-042,PALS,R3,SC-018,PRISMWORKS,delivered,5,2026-09-03T17:00:00Z,rq-pal-042,PAL-041
PAL-043,PALS,R1,SC-019,VANTASTUDIO,delivered,4,2026-09-03T18:00:00Z,rq-pal-043,PAL-021
PAL-044,PALS,R2,SC-020,LUMENFRAME,delivered,3,2026-09-03T19:00:00Z,rq-pal-044,
PAL-045,PALS,R3,SC-021,HELIOSFORGE,failed,4,2026-09-03T20:00:00Z,rq-pal-045,
PAL-046,PALS,R1,SC-022,PRISMWORKS,delivered,2,2026-09-03T21:00:00Z,rq-pal-046,PAL-045
PAL-047,PALS,R2,SC-023,VANTASTUDIO,delivered,2,2026-09-03T22:00:00Z,rq-pal-047,PAL-046
PAL-048,PALS,R3,SC-024,LUMENFRAME,delivered,2,2026-09-03T23:00:00Z,rq-pal-048,
PAL-049,PALS,R1,SC-001,HELIOSFORGE,failed,4,2026-09-04T00:00:00Z,rq-pal-049,PAL-048
PAL-050,PALS,R2,SC-002,PRISMWORKS,delivered,2,2026-09-04T01:00:00Z,rq-pal-050,
PAL-051,PALS,R3,SC-003,VANTASTUDIO,delivered,2,2026-09-04T02:00:00Z,rq-pal-051,PAL-050
PAL-052,PALS,R1,SC-004,LUMENFRAME,delivered,4,2026-09-04T03:00:00Z,rq-pal-052,
PAL-053,PALS,R2,SC-005,HELIOSFORGE,failed,4,2026-09-04T04:00:00Z,rq-pal-053,
PAL-054,PALS,R3,SC-006,PRISMWORKS,delivered,5,2026-09-04T05:00:00Z,rq-pal-054,PAL-045
PAL-055,PALS,R1,SC-007,VANTASTUDIO,delivered,4,2026-09-04T06:00:00Z,rq-pal-055,
PAL-056,PALS,R2,SC-008,LUMENFRAME,delivered,1,2026-09-04T07:00:00Z,rq-pal-056,
PAL-057,PALS,R3,SC-009,HELIOSFORGE,failed,4,2026-09-04T08:00:00Z,rq-pal-057,PAL-028
PAL-058,PALS,R1,SC-010,PRISMWORKS,delivered,4,2026-09-04T09:00:00Z,rq-pal-058,
PAL-059,PALS,R2,SC-011,VANTASTUDIO,delivered,1,2026-09-04T10:00:00Z,rq-pal-059,
PAL-060,PALS,R3,SC-012,LUMENFRAME,delivered,3,2026-09-04T11:00:00Z,rq-pal-060,PAL-019
PAL-061,PALS,R1,SC-013,HELIOSFORGE,delivered,4,2026-09-04T12:00:00Z,rq-pal-061,PAL-060
PAL-062,PALS,R2,SC-014,PRISMWORKS,delivered,4,2026-09-04T13:00:00Z,rq-pal-062,PAL-061
PAL-063,PALS,R3,SC-015,VANTASTUDIO,delivered,4,2026-09-04T14:00:00Z,rq-pal-063,
PAL-064,PALS,R1,SC-016,LUMENFRAME,delivered,1,2026-09-04T15:00:00Z,rq-pal-064,
PAL-065,PALS,R2,SC-017,HELIOSFORGE,delivered,4,2026-09-04T16:00:00Z,rq-pal-065,PAL-064
PAL-066,PALS,R3,SC-018,PRISMWORKS,delivered,3,2026-09-04T17:00:00Z,rq-pal-066,PAL-065;PAL-015
PAL-067,PALS,R1,SC-019,VANTASTUDIO,delivered,2,2026-09-04T18:00:00Z,rq-pal-067,PAL-066
PAL-068,PALS,R2,SC-020,LUMENFRAME,delivered,1,2026-09-04T19:00:00Z,rq-pal-068,
PAL-069,PALS,R3,SC-021,HELIOSFORGE,delivered,4,2026-09-04T20:00:00Z,rq-pal-069,PAL-068
PAL-070,PALS,R1,SC-022,PRISMWORKS,delivered,5,2026-09-04T21:00:00Z,rq-pal-070,PAL-069
PAL-071,PALS,R2,SC-023,VANTASTUDIO,delivered,5,2026-09-04T22:00:00Z,rq-pal-071,PAL-070
PAL-072,PALS,R3,SC-024,LUMENFRAME,delivered,5,2026-09-04T23:00:00Z,rq-pal-072,PAL-071
PAL-073,PALS,R1,SC-001,HELIOSFORGE,delivered,5,2026-09-05T00:00:00Z,rq-pal-073,
PAL-074,PALS,R2,SC-002,PRISMWORKS,delivered,2,2026-09-05T01:00:00Z,rq-pal-074,
PAL-075,PALS,R3,SC-003,VANTASTUDIO,delivered,5,2026-09-05T02:00:00Z,rq-pal-075,PAL-074;PAL-052
PAL-076,PALS,R1,SC-004,LUMENFRAME,delivered,1,2026-09-05T03:00:00Z,rq-pal-076,
PAL-077,PALS,R2,SC-005,HELIOSFORGE,delivered,4,2026-09-05T04:00:00Z,rq-pal-077,PAL-031
PAL-078,PALS,R3,SC-006,PRISMWORKS,delivered,4,2026-09-05T05:00:00Z,rq-pal-078,PAL-077
PAL-079,PALS,R1,SC-007,VANTASTUDIO,delivered,1,2026-09-05T06:00:00Z,rq-pal-079,PAL-078;PAL-065
PAL-080,PALS,R2,SC-008,LUMENFRAME,delivered,1,2026-09-05T07:00:00Z,rq-pal-080,PAL-079
PAL-081,PALS,R3,SC-009,HELIOSFORGE,delivered,4,2026-09-05T08:00:00Z,rq-pal-081,PAL-067
PAL-082,PALS,R1,SC-010,PRISMWORKS,delivered,1,2026-09-05T09:00:00Z,rq-pal-082,
PAL-083,PALS,R2,SC-011,VANTASTUDIO,delivered,4,2026-09-05T10:00:00Z,rq-pal-083,
PAL-084,PALS,R3,SC-012,LUMENFRAME,delivered,5,2026-09-05T11:00:00Z,rq-pal-084,PAL-083;PAL-030
PAL-085,PALS,R1,SC-013,HELIOSFORGE,delivered,4,2026-09-05T12:00:00Z,rq-pal-085,PAL-084
PAL-086,PALS,R2,SC-014,PRISMWORKS,delivered,4,2026-09-05T13:00:00Z,rq-pal-086,PAL-085
PAL-087,PALS,R3,SC-015,VANTASTUDIO,delivered,3,2026-09-05T14:00:00Z,rq-pal-087,
PAL-088,PALS,R1,SC-016,LUMENFRAME,delivered,2,2026-09-05T15:00:00Z,rq-pal-088,
PAL-089,PALS,R2,SC-017,HELIOSFORGE,delivered,5,2026-09-05T16:00:00Z,rq-pal-089,PAL-088;PAL-084
PAL-090,PALS,R3,SC-018,PRISMWORKS,delivered,2,2026-09-05T17:00:00Z,rq-pal-090,PAL-089
PAL-091,PALS,R1,SC-019,VANTASTUDIO,delivered,1,2026-09-05T18:00:00Z,rq-pal-091,PAL-069
PAL-092,PALS,R2,SC-020,LUMENFRAME,delivered,1,2026-09-05T19:00:00Z,rq-pal-092,PAL-091
PAL-093,PALS,R3,SC-021,HELIOSFORGE,delivered,4,2026-09-05T20:00:00Z,rq-pal-093,
PAL-094,PALS,R1,SC-022,PRISMWORKS,delivered,2,2026-09-05T21:00:00Z,rq-pal-094,PAL-093
PAL-095,PALS,R2,SC-023,VANTASTUDIO,delivered,3,2026-09-05T22:00:00Z,rq-pal-095,PAL-094
PAL-096,PALS,R3,SC-024,LUMENFRAME,delivered,4,2026-09-05T23:00:00Z,rq-pal-096,PAL-095
PAL-097,PALS,R1,SC-001,HELIOSFORGE,delivered,4,2026-09-06T00:00:00Z,rq-pal-097,PAL-080
PAL-098,PALS,R2,SC-002,PRISMWORKS,delivered,2,2026-09-06T01:00:00Z,rq-pal-098,PAL-097
PAL-099,PALS,R3,SC-003,VANTASTUDIO,delivered,3,2026-09-06T02:00:00Z,rq-pal-099,PAL-036
PAL-100,PALS,R1,SC-004,LUMENFRAME,delivered,4,2026-09-06T03:00:00Z,rq-pal-100,PAL-099
PAL-101,PALS,R2,SC-005,HELIOSFORGE,delivered,4,2026-09-06T04:00:00Z,rq-pal-101,
PAL-102,PALS,R3,SC-006,PRISMWORKS,delivered,3,2026-09-06T05:00:00Z,rq-pal-102,
PAL-103,PALS,R1,SC-007,VANTASTUDIO,delivered,4,2026-09-06T06:00:00Z,rq-pal-103,PAL-102;PAL-042
PAL-104,PALS,R2,SC-008,LUMENFRAME,delivered,1,2026-09-06T07:00:00Z,rq-pal-104,
PAL-105,PALS,R3,SC-009,HELIOSFORGE,delivered,4,2026-09-06T08:00:00Z,rq-pal-105,
PAL-106,PALS,R1,SC-010,PRISMWORKS,approved,5,2026-09-06T09:00:00Z,rq-pal-106,
PAL-107,PALS,R2,SC-011,VANTASTUDIO,approved,2,2026-09-06T10:00:00Z,rq-pal-107,
PAL-108,PALS,R3,SC-012,LUMENFRAME,approved,3,2026-09-06T11:00:00Z,rq-pal-108,PAL-107
PAL-109,PALS,R1,SC-013,HELIOSFORGE,approved,5,2026-09-06T12:00:00Z,rq-pal-109,PAL-108
PAL-110,PALS,R2,SC-014,PRISMWORKS,approved,3,2026-09-06T13:00:00Z,rq-pal-110,
PAL-111,PALS,R3,SC-015,VANTASTUDIO,approved,4,2026-09-06T14:00:00Z,rq-pal-111,
PAL-112,PALS,R1,SC-016,LUMENFRAME,approved,1,2026-09-06T15:00:00Z,rq-pal-112,PAL-111
PAL-113,PALS,R2,SC-017,HELIOSFORGE,approved,4,2026-09-06T16:00:00Z,rq-pal-113,
PAL-114,PALS,R3,SC-018,PRISMWORKS,approved,3,2026-09-06T17:00:00Z,rq-pal-114,
PAL-115,PALS,R1,SC-019,VANTASTUDIO,approved,1,2026-09-06T18:00:00Z,rq-pal-115,PAL-114
PAL-116,PALS,R2,SC-020,LUMENFRAME,approved,1,2026-09-06T19:00:00Z,rq-pal-116,PAL-077
PAL-117,PALS,R3,SC-021,HELIOSFORGE,approved,4,2026-09-06T20:00:00Z,rq-pal-117,
PAL-118,PALS,R1,SC-022,PRISMWORKS,approved,2,2026-09-06T21:00:00Z,rq-pal-118,
PAL-119,PALS,R2,SC-023,VANTASTUDIO,approved,2,2026-09-06T22:00:00Z,rq-pal-119,
PAL-120,PALS,R3,SC-024,LUMENFRAME,approved,5,2026-09-06T23:00:00Z,rq-pal-120,
PAL-121,PALS,R1,SC-001,HELIOSFORGE,approved,4,2026-09-07T00:00:00Z,rq-pal-121,PAL-120
PAL-122,PALS,R2,SC-002,PRISMWORKS,approved,5,2026-09-07T01:00:00Z,rq-pal-122,PAL-121
PAL-123,PALS,R3,SC-003,VANTASTUDIO,approved,5,2026-09-07T02:00:00Z,rq-pal-123,
PAL-124,PALS,R1,SC-004,LUMENFRAME,approved,3,2026-09-07T03:00:00Z,rq-pal-124,PAL-006
PAL-125,PALS,R2,SC-005,HELIOSFORGE,approved,4,2026-09-07T04:00:00Z,rq-pal-125,PAL-124
PAL-126,PALS,R3,SC-006,PRISMWORKS,approved,1,2026-09-07T05:00:00Z,rq-pal-126,PAL-125
PAL-127,PALS,R1,SC-007,VANTASTUDIO,approved,1,2026-09-07T06:00:00Z,rq-pal-127,PAL-126
PAL-128,PALS,R2,SC-008,LUMENFRAME,approved,2,2026-09-07T07:00:00Z,rq-pal-128,PAL-127;PAL-031
PAL-129,PALS,R3,SC-009,HELIOSFORGE,approved,4,2026-09-07T08:00:00Z,rq-pal-129,PAL-128
PAL-130,PALS,R1,SC-010,PRISMWORKS,approved,4,2026-09-07T09:00:00Z,rq-pal-130,
PAL-131,PALS,R2,SC-011,VANTASTUDIO,approved,4,2026-09-07T10:00:00Z,rq-pal-131,PAL-055
PAL-132,PALS,R3,SC-012,LUMENFRAME,approved,3,2026-09-07T11:00:00Z,rq-pal-132,
PAL-133,PALS,R1,SC-013,HELIOSFORGE,approved,4,2026-09-07T12:00:00Z,rq-pal-133,
PAL-134,PALS,R2,SC-014,PRISMWORKS,approved,5,2026-09-07T13:00:00Z,rq-pal-134,
PAL-135,PALS,R3,SC-015,VANTASTUDIO,approved,2,2026-09-07T14:00:00Z,rq-pal-135,
PAL-136,PALS,R1,SC-016,LUMENFRAME,approved,1,2026-09-07T15:00:00Z,rq-pal-136,
PAL-137,PALS,R2,SC-017,HELIOSFORGE,approved,4,2026-09-07T16:00:00Z,rq-pal-137,
PAL-138,PALS,R3,SC-018,PRISMWORKS,approved,5,2026-09-07T17:00:00Z,rq-pal-138,PAL-137
PAL-139,PALS,R1,SC-019,VANTASTUDIO,approved,3,2026-09-07T18:00:00Z,rq-pal-139,PAL-138
PAL-140,PALS,R2,SC-020,LUMENFRAME,approved,5,2026-09-07T19:00:00Z,rq-pal-140,
PAL-141,PALS,R3,SC-021,HELIOSFORGE,approved,5,2026-09-07T20:00:00Z,rq-pal-141,
PAL-142,PALS,R1,SC-022,PRISMWORKS,approved,3,2026-09-07T21:00:00Z,rq-pal-142,PAL-141
PAL-143,PALS,R2,SC-023,VANTASTUDIO,approved,3,2026-09-07T22:00:00Z,rq-pal-143,PAL-142;PAL-032
PAL-144,PALS,R3,SC-024,LUMENFRAME,approved,4,2026-09-07T23:00:00Z,rq-pal-144,
PAL-145,PALS,R1,SC-001,HELIOSFORGE,approved,3,2026-09-08T00:00:00Z,rq-pal-145,
PAL-146,PALS,R2,SC-002,PRISMWORKS,review,1,2026-09-08T01:00:00Z,rq-pal-146,PAL-145
PAL-147,PALS,R3,SC-003,VANTASTUDIO,review,1,2026-09-08T02:00:00Z,rq-pal-147,PAL-146
PAL-148,PALS,R1,SC-004,LUMENFRAME,review,5,2026-09-08T03:00:00Z,rq-pal-148,
PAL-149,PALS,R2,SC-005,HELIOSFORGE,review,1,2026-09-08T04:00:00Z,rq-pal-149,PAL-148;PAL-077
PAL-150,PALS,R3,SC-006,PRISMWORKS,review,2,2026-09-08T05:00:00Z,rq-pal-150,PAL-149;PAL-002
PAL-151,PALS,R1,SC-007,VANTASTUDIO,review,3,2026-09-08T06:00:00Z,rq-pal-151,
PAL-152,PALS,R2,SC-008,LUMENFRAME,review,5,2026-09-08T07:00:00Z,rq-pal-152,
PAL-153,PALS,R3,SC-009,HELIOSFORGE,review,5,2026-09-08T08:00:00Z,rq-pal-153,
PAL-154,PALS,R1,SC-010,PRISMWORKS,review,4,2026-09-08T09:00:00Z,rq-pal-154,
PAL-155,PALS,R2,SC-011,VANTASTUDIO,review,2,2026-09-08T10:00:00Z,rq-pal-155,
PAL-156,PALS,R3,SC-012,LUMENFRAME,review,1,2026-09-08T11:00:00Z,rq-pal-156,
PAL-157,PALS,R1,SC-013,HELIOSFORGE,review,4,2026-09-08T12:00:00Z,rq-pal-157,PAL-003
PAL-158,PALS,R2,SC-014,PRISMWORKS,review,2,2026-09-08T13:00:00Z,rq-pal-158,PAL-157
PAL-159,PALS,R3,SC-015,VANTASTUDIO,review,1,2026-09-08T14:00:00Z,rq-pal-159,PAL-158
PAL-160,PALS,R1,SC-016,LUMENFRAME,review,1,2026-09-08T15:00:00Z,rq-pal-160,PAL-159;PAL-091
PAL-161,PALS,R2,SC-017,HELIOSFORGE,review,2,2026-09-08T16:00:00Z,rq-pal-161,
PAL-162,PALS,R3,SC-018,PRISMWORKS,review,1,2026-09-08T17:00:00Z,rq-pal-162,
PAL-163,PALS,R1,SC-019,VANTASTUDIO,review,5,2026-09-08T18:00:00Z,rq-pal-163,PAL-162
PAL-164,PALS,R2,SC-020,LUMENFRAME,review,2,2026-09-08T19:00:00Z,rq-pal-164,PAL-163
PAL-165,PALS,R3,SC-021,HELIOSFORGE,review,5,2026-09-08T20:00:00Z,rq-pal-165,PAL-164
PAL-166,PALS,R1,SC-022,PRISMWORKS,review,3,2026-09-08T21:00:00Z,rq-pal-166,
PAL-167,PALS,R2,SC-023,VANTASTUDIO,review,5,2026-09-08T22:00:00Z,rq-pal-167,PAL-041
PAL-168,PALS,R3,SC-024,LUMENFRAME,review,4,2026-09-08T23:00:00Z,rq-pal-168,
PAL-169,PALS,R1,SC-001,HELIOSFORGE,review,3,2026-09-09T00:00:00Z,rq-pal-169,
PAL-170,PALS,R2,SC-002,PRISMWORKS,review,2,2026-09-09T01:00:00Z,rq-pal-170,
PAL-171,PALS,R3,SC-003,VANTASTUDIO,review,3,2026-09-09T02:00:00Z,rq-pal-171,PAL-047
PAL-172,PALS,R1,SC-004,LUMENFRAME,review,4,2026-09-09T03:00:00Z,rq-pal-172,PAL-171
PAL-173,PALS,R2,SC-005,HELIOSFORGE,review,5,2026-09-09T04:00:00Z,rq-pal-173,
PAL-174,PALS,R3,SC-006,PRISMWORKS,review,5,2026-09-09T05:00:00Z,rq-pal-174,PAL-118
PAL-175,PALS,R1,SC-007,VANTASTUDIO,review,5,2026-09-09T06:00:00Z,rq-pal-175,PAL-174
PAL-176,PALS,R2,SC-008,LUMENFRAME,rendering,1,2026-09-09T07:00:00Z,rq-pal-176,
PAL-177,PALS,R3,SC-009,HELIOSFORGE,rendering,3,2026-09-09T08:00:00Z,rq-pal-177,PAL-176
PAL-178,PALS,R1,SC-010,PRISMWORKS,rendering,3,2026-09-09T09:00:00Z,rq-pal-178,
PAL-179,PALS,R2,SC-011,VANTASTUDIO,rendering,3,2026-09-09T10:00:00Z,rq-pal-179,PAL-178
PAL-180,PALS,R3,SC-012,LUMENFRAME,rendering,4,2026-09-09T11:00:00Z,rq-pal-180,
PAL-181,PALS,R1,SC-013,HELIOSFORGE,rendering,5,2026-09-09T12:00:00Z,rq-pal-181,
PAL-182,PALS,R2,SC-014,PRISMWORKS,rendering,1,2026-09-09T13:00:00Z,rq-pal-182,PAL-181
PAL-183,PALS,R3,SC-015,VANTASTUDIO,rendering,4,2026-09-09T14:00:00Z,rq-pal-183,
PAL-184,PALS,R1,SC-016,LUMENFRAME,rendering,3,2026-09-09T15:00:00Z,rq-pal-184,PAL-183
PAL-185,PALS,R2,SC-017,HELIOSFORGE,rendering,5,2026-09-09T16:00:00Z,rq-pal-185,
PAL-186,PALS,R3,SC-018,PRISMWORKS,rendering,3,2026-09-09T17:00:00Z,rq-pal-186,PAL-167
PAL-187,PALS,R1,SC-019,VANTASTUDIO,rendering,1,2026-09-09T18:00:00Z,rq-pal-187,
PAL-188,PALS,R2,SC-020,LUMENFRAME,rendering,2,2026-09-09T19:00:00Z,rq-pal-188,PAL-099
PAL-189,PALS,R3,SC-021,HELIOSFORGE,rendering,3,2026-09-09T20:00:00Z,rq-pal-189,
PAL-190,PALS,R1,SC-022,PRISMWORKS,rendering,5,2026-09-09T21:00:00Z,rq-pal-190,
PAL-191,PALS,R2,SC-023,VANTASTUDIO,rendering,4,2026-09-09T22:00:00Z,rq-pal-191,PAL-190
PAL-192,PALS,R3,SC-024,LUMENFRAME,rendering,3,2026-09-09T23:00:00Z,rq-pal-192,
PAL-193,PALS,R1,SC-001,HELIOSFORGE,rendering,5,2026-09-10T00:00:00Z,rq-pal-193,PAL-192
PAL-194,PALS,R2,SC-002,PRISMWORKS,rendering,5,2026-09-10T01:00:00Z,rq-pal-194,PAL-005
PAL-195,PALS,R3,SC-003,VANTASTUDIO,rendering,3,2026-09-10T02:00:00Z,rq-pal-195,PAL-194
PAL-196,PALS,R1,SC-004,LUMENFRAME,rendering,2,2026-09-10T03:00:00Z,rq-pal-196,PAL-195
PAL-197,PALS,R2,SC-005,HELIOSFORGE,rendering,1,2026-09-10T04:00:00Z,rq-pal-197,
PAL-198,PALS,R3,SC-006,PRISMWORKS,rendering,4,2026-09-10T05:00:00Z,rq-pal-198,
PAL-199,PALS,R1,SC-007,VANTASTUDIO,rendering,2,2026-09-10T06:00:00Z,rq-pal-199,PAL-143
PAL-200,PALS,R2,SC-008,LUMENFRAME,rendering,2,2026-09-10T07:00:00Z,rq-pal-200,PAL-199;PAL-107
PAL-201,PALS,R3,SC-009,HELIOSFORGE,rendering,1,2026-09-10T08:00:00Z,rq-pal-201,
PAL-202,PALS,R1,SC-010,PRISMWORKS,rendering,2,2026-09-10T09:00:00Z,rq-pal-202,
PAL-203,PALS,R2,SC-011,VANTASTUDIO,rendering,2,2026-09-10T10:00:00Z,rq-pal-203,PAL-202
PAL-204,PALS,R3,SC-012,LUMENFRAME,rendering,1,2026-09-10T11:00:00Z,rq-pal-204,PAL-203;PAL-202
PAL-205,PALS,R1,SC-013,HELIOSFORGE,rendering,2,2026-09-10T12:00:00Z,rq-pal-205,
PAL-206,PALS,R2,SC-014,PRISMWORKS,rendering,4,2026-09-10T13:00:00Z,rq-pal-206,PAL-205
PAL-207,PALS,R3,SC-015,VANTASTUDIO,rendering,3,2026-09-10T14:00:00Z,rq-pal-207,
PAL-208,PALS,R1,SC-016,LUMENFRAME,rendering,3,2026-09-10T15:00:00Z,rq-pal-208,PAL-207;PAL-194
PAL-209,PALS,R2,SC-017,HELIOSFORGE,rendering,1,2026-09-10T16:00:00Z,rq-pal-209,
PAL-210,PALS,R3,SC-018,PRISMWORKS,rendering,1,2026-09-10T17:00:00Z,rq-pal-210,PAL-209;PAL-071
PAL-211,PALS,R1,SC-019,VANTASTUDIO,rendering,2,2026-09-10T18:00:00Z,rq-pal-211,
PAL-212,PALS,R2,SC-020,LUMENFRAME,rendering,1,2026-09-10T19:00:00Z,rq-pal-212,PAL-211
PAL-213,PALS,R3,SC-021,HELIOSFORGE,rendering,3,2026-09-10T20:00:00Z,rq-pal-213,
PAL-214,PALS,R1,SC-022,PRISMWORKS,rendering,5,2026-09-10T21:00:00Z,rq-pal-214,
PAL-215,PALS,R2,SC-023,VANTASTUDIO,rendering,5,2026-09-10T22:00:00Z,rq-pal-215,PAL-049
PAL-216,PALS,R3,SC-024,LUMENFRAME,queued,5,2026-09-10T23:00:00Z,rq-pal-216,
PAL-217,PALS,R1,SC-001,HELIOSFORGE,queued,5,2026-09-11T00:00:00Z,rq-pal-217,
PAL-218,PALS,R2,SC-002,PRISMWORKS,queued,3,2026-09-11T01:00:00Z,rq-pal-218,
PAL-219,PALS,R3,SC-003,VANTASTUDIO,queued,2,2026-09-11T02:00:00Z,rq-pal-219,PAL-181
PAL-220,PALS,R1,SC-004,LUMENFRAME,queued,5,2026-09-11T03:00:00Z,rq-pal-220,PAL-016
PAL-221,PALS,R2,SC-005,HELIOSFORGE,queued,2,2026-09-11T04:00:00Z,rq-pal-221,PAL-220
PAL-222,PALS,R3,SC-006,PRISMWORKS,queued,3,2026-09-11T05:00:00Z,rq-pal-222,
PAL-223,PALS,R1,SC-007,VANTASTUDIO,queued,1,2026-09-11T06:00:00Z,rq-pal-223,PAL-222
PAL-224,PALS,R2,SC-008,LUMENFRAME,queued,2,2026-09-11T07:00:00Z,rq-pal-224,PAL-223
PAL-225,PALS,R3,SC-009,HELIOSFORGE,queued,3,2026-09-11T08:00:00Z,rq-pal-225,
PAL-226,PALS,R1,SC-010,PRISMWORKS,queued,3,2026-09-11T09:00:00Z,rq-pal-226,PAL-089
PAL-227,PALS,R2,SC-011,VANTASTUDIO,queued,4,2026-09-11T10:00:00Z,rq-pal-227,PAL-187
PAL-228,PALS,R3,SC-012,LUMENFRAME,queued,4,2026-09-11T11:00:00Z,rq-pal-228,PAL-227
PAL-229,PALS,R1,SC-013,HELIOSFORGE,queued,5,2026-09-11T12:00:00Z,rq-pal-229,
PAL-230,PALS,R2,SC-014,PRISMWORKS,queued,1,2026-09-11T13:00:00Z,rq-pal-230,
PAL-231,PALS,R3,SC-015,VANTASTUDIO,queued,3,2026-09-11T14:00:00Z,rq-pal-231,PAL-029
